Id,Name,Description,ProductType,MaintenanceType,ApplyType,BasePrice,Level,UpgradeCost,EffectType,TargetIds,EffectValue,RequiredTotalDay,RequiredWeeklyRating,RequiredMaintenanceId,RequiredMaintenanceLevel
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Pointy,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Pointy,30,28,Good,,
Mtc_Research_Theme_Round,둥근 테마 연구,둥근 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Round,10,7,,,
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Round,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Round,30,28,Good,,
Mtc_Research_Theme_Hard,단단 테마 연구,단단 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Hard,10,7,,,
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Hard,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Hard,30,28,Good,,
Mtc_Research_Theme_Shiny,반짝 테마 연구,반짝 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Shiny,10,7,,,
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Shiny,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Shiny,30,28,Good,,
Mtc_Research_Theme_Slippery,미끌 테마 연구,미끌 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Slippery,10,7,,,
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Slippery,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Slippery,30,28,Good,,
Mtc_Convenience_OrderDeadlineAlert,마감 알림 장치,마감이 임박한 주문을 강조해서 표시한다.,Equipment,Convenience,Immediately,300,1,0,InformationUnlock,Info_OrderDeadlineAlert,0,,,,
Mtc_Convenience_MissingPartsDisplay,파츠 재고 분석기,주문에 필요한 부족 파츠 수량을 표시한다.,Equipment,Convenience,Immediately,500,1,0,InformationUnlock,Info_MissingPartsDisplay,0,,,,
